ImageNumber	ObjectNumber	Metadata_ChannelNumber	Metadata_FileLocation	Metadata_Frame	Metadata_Plate	Metadata_Series	Metadata_Site	Metadata_Well	Metadata_Well	AreaShape_Area	AreaShape_Center_X	AreaShape_Center_Y	AreaShape_Center_Z	AreaShape_Perimeter	AreaShape_Solidity	Children_CaprinSG_Count	Children_SG_Count	Intensity_IntegratedIntensity_G3BP	Intensity_IntegratedIntensity_GFP	Intensity_MeanIntensity_G3BP	Intensity_MeanIntensity_GFP	Intensity_MedianIntensity_G3BP	Intensity_MedianIntensity_GFP	Intensity_StdIntensity_GFP	Location_CenterMassIntensity_X_G3BP	Location_CenterMassIntensity_X_GFP	Location_CenterMassIntensity_Y_G3BP	Location_CenterMassIntensity_Y_GFP	Location_CenterMassIntensity_Z_G3BP	Location_CenterMassIntensity_Z_GFP	Location_Center_X	Location_Center_Y	Location_MaxIntensity_X_G3BP	Location_MaxIntensity_X_GFP	Location_MaxIntensity_Y_G3BP	Location_MaxIntensity_Y_GFP	Location_MaxIntensity_Z_G3BP	Location_MaxIntensity_Z_GFP	Mean_CaprinSG_Distance_Centroid_Cytoplasm_Norm	Mean_CaprinSG_Distance_Minimum_Cytoplasm_Norm	Mean_CaprinSG_Location_Center_X	Mean_CaprinSG_Location_Center_Y	Mean_CaprinSG_Number_Object_Number	Number_Object_Number	Parent_cell	Parent_nuclei
1	1			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	28291	1062.0	0.0	1.0	1398.2619999999945	0.5859958366560685	0	0	39.70786601654254	47.93102920986712	0.0014035511652660754	0.001694214740018632	0.0013885709922760725	0.0016632333863526583	0.00022945967150974129	1069.1723044052178	1068.7437618586764	162.7266889678375	163.79701734391116	0.0	0.0	1070.5075112226502	163.88635961966702	1081.0	1029.0	41.0	198.0	0.0	0.0						1	1	1
1	2			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	518	602.0	122.0	1.0	854.3019999999967	0.04016593649439771	0	0	0.7594872966874391	0.6112764170393348	0.0014661916924467936	0.001180070303164739	0.0014190890360623598	0.0011749446857720613	3.96953861222127e-05	541.2426817752597	544.3604842735896	138.43461314367227	137.80521717423863	0.0	0.0	544.9749034749035	137.67760617760618	513.0	507.0	187.0	181.0	0.0	0.0						2	2	2
1	3			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	414	337.0	199.0	1.0	673.3979999999972	0.055343894124724284	0	0	0.5882352939806879	0.5135118637699634	0.0014208581980209851	0.0012403668207003947	0.0014190890360623598	0.001235980773344636	5.678187374373304e-05	320.4574059662776	320.108846165275	235.15042801556422	235.05307104864352	0.0	0.0	319.10869565217394	234.90096618357487	373.0	361.0	258.0	278.0	0.0	0.0						3	3	3
1	4			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	22271	1147.0	273.0	1.0	1230.0959999999948	0.6407537941451485	0	0	31.641184092732146	32.921446547610685	0.0014207347713498337	0.0014782204008625874	0.0014190890360623598	0.0014496070798486471	0.00013123602588468612	1230.8288545793437	1229.2459528520649	287.8781527822319	287.58916054501793	0.0	0.0	1229.8543397243052	285.19976651250505	1175.0	1172.0	280.0	278.0	0.0	0.0						4	4	4
1	5			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	430	182.0	273.0	1.0	722.8759999999977	0.049297793063915164	0	0	0.5739223314449191	0.5171740290243179	0.001334703096383533	0.0012027303000565531	0.0013275349047034979	0.0012054627295583487	4.694048870143259e-05	225.97934169945762	226.11731035907118	299.4745559927683	299.19080636119554	0.0	0.0	226.13720930232557	299.2325581395349	251.0	253.0	345.0	344.0	0.0	0.0						5	5	5
1	6			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	20143	1217.0	467.0	1.0	1073.7659999999958	0.7030715532286212	0	0	28.187853812007234	30.95971617498435	0.00139938707302821	0.0015369962853092564	0.0014038300141692162	0.0015106431674212217	0.00016243316471310732	1169.7984150845753	1168.956339378347	407.0946353335776	408.86195288684513	0.0	0.0	1170.702924092737	408.3447351437224	1130.0	1145.0	326.0	464.0	0.0	0.0						6	6	6
1	7			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	422	392.0	414.0	1.0	694.6719999999975	0.051288283908604765	0	0	0.5958342868834734	0.48525215522386134	0.001411929589771264	0.0011498866237532259	0.0013885709922760725	0.001144426641985774	3.456179828701903e-05	347.05559823806595	346.64318732115345	418.8395308338455	417.7501336435961	0.0	0.0	346.67535545023696	417.6303317535545	357.0	303.0	475.0	435.0	0.0	0.0						7	7	7
1	8			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	2376	944.0	368.0	1.0	1031.759999999996	0.14521008403361343	0	0	3.306950483703986	3.4496681154705584	0.0013918141766430918	0.0014518805199791912	0.0013885709922760725	0.0014343480579555035	0.00016340562931660586	929.8330618629482	931.9263117386342	366.4718462908532	364.7879720799384	0.0	0.0	929.8493265993266	364.9823232323232	941.0	947.0	382.0	391.0	0.0	0.0						8	8	8
1	9			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	21536	998.0	323.0	1.0	1176.8879999999965	0.6579393569082715	0	0	29.468467224389315	35.10640115151182	0.0013683352165856852	0.001630126353617748	0.0013733119703829288	0.001632715342566371	0.00019263643910805842	1011.3520326053637	1012.8604036687997	380.54479250379035	380.26261986579726	0.0	0.0	1010.0219632243685	380.26787704309066	1073.0	1087.0	441.0	425.0	0.0	0.0						9	9	9
1	10			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	450	297.0	518.0	1.0	753.1559999999972	0.04843136199752462	0	0	0.6013733118306845	0.5156939039006829	0.0013363851374015212	0.0011459864531126287	0.0013427939265966415	0.001144426641985774	3.2926329158905376e-05	247.62705843546217	248.27825778198604	491.5121666539799	491.1692212096106	0.0	0.0	248.3311111111111	491.1822222222222	215.0	204.0	436.0	444.0	0.0	0.0						10	10	10
1	11			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	8075	1159.0	518.0	1.0	697.9579999999971	0.6974434271894976	0	0	11.264835581416264	14.355565724894404	0.0013950260781939647	0.0017777790371386259	0.0014038300141692162	0.0017853055614978075	0.00024609697089265795	1130.2274731422394	1130.1151519145571	505.7570671366126	506.0787708653985	0.0	0.0	1130.673560371517	506.12111455108356	1138.0	1123.0	508.0	557.0	0.0	0.0						11	11	11
1	12			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	3739	614.0	461.0	1.0	850.9259999999969	0.28079002703514566	0	0	5.829037917312235	5.097352558514103	0.0015589831284600788	0.0013632930084284845	0.0015564202331006527	0.0013580529484897852	6.831660542126121e-05	614.3548321230556	614.7708341440781	472.7990921608561	473.0471569053	0.0	0.0	615.2281358652046	473.6014977266649	592.0	608.0	470.0	467.0	0.0	0.0						12	12	12
1	13			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	7710	1099.0	634.0	1.0	769.7859999999969	0.5647524172282451	0	0	11.323994809295982	14.304631109815091	0.0014687412204015542	0.001855334774295083	0.0014648661017417908	0.0017853055614978075	0.00036856685552966704	1089.833636968784	1090.8929654148365	594.6525970263489	595.5367068677504	0.0	0.0	1088.8411154345006	593.6259403372244	1120.0	1113.0	582.0	589.0	0.0	0.0						13	13	13
1	14			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	2589	192.0	637.0	1.0	968.6139999999964	0.16657551873894166	0	0	4.0087129005696625	3.4847028297372162	0.0015483634223907542	0.0013459647855300178	0.001541161211207509	0.0013580529484897852	7.676001109811836e-05	175.87361016478184	175.66517493541184	624.6993235913228	624.600201427508	0.0	0.0	174.85129393588258	623.6801853997682	182.0	179.0	630.0	633.0	0.0	0.0						14	14	14
1	15			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	2044	1233.0	597.0	1.0	861.2699999999967	0.15578674593193856	0	0	3.1089494156185538	2.7682612338103354	0.0015210124342556525	0.0013543352415901838	0.001495384145528078	0.0013427939265966415	7.197639905996655e-05	1250.05881371322	1250.4093860587152	586.7205624677906	587.1279476126955	0.0	0.0	1251.0557729941293	587.5239726027397	1244.0	1246.0	553.0	562.0	0.0	0.0						15	15	15
1	16			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	3317	429.0	564.0	1.0	797.0539999999974	0.2756127960116328	0	1	5.252414738992229	4.64762340625748	0.0015834834908026016	0.0014011526699600483	0.0015259021893143654	0.0013885709922760725	9.105744566883523e-05	446.29010188340493	447.85057225968706	612.8085510012579	615.5626629282098	0.0	0.0	448.16008441362675	616.7410310521556	433.0	433.0	566.0	570.0	0.0	0.0						16	16	16
1	17			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	500	765.0	592.0	1.0	839.7419999999973	0.05523946307241895	0	0	0.6347447927109897	0.601953154662624	0.0012694895854219795	0.001203906309325248	0.0012664988171309233	0.0012054627295583487	4.702056145283102e-05	768.2183278042213	768.3390200005069	637.9826193566998	637.7790818525184	0.0	0.0	768.3	637.516	739.0	744.0	682.0	683.0	0.0	0.0						17	17	17
1	18			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	6426	883.0	609.0	1.0	1029.7599999999964	0.3895017577888229	0	0	9.08856336097233	8.716990918852389	0.0014143422597218066	0.0013565189727439135	0.0014038300141692162	0.0013580529484897852	7.218340698837446e-05	888.2936608805294	888.1109426748916	611.3668670744217	611.5070649852609	0.0	0.0	888.6817615935263	611.8825085589791	893.0	896.0	601.0	602.0	0.0	0.0						18	18	18
1	19			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	2207	0.0	694.0	1.0	938.7479999999968	0.18941767154443634	0	0	3.449851223733276	2.924589913105592	0.0015631405635402249	0.0013251426883124568	0.0015716792549937963	0.0013275349047034979	6.70832897967977e-05	62.828720044584806	63.43693357612059	716.7413992905355	717.5709604879397	0.0	0.0	63.5210693248754	718.0566379700952	30.0	34.0	680.0	681.0	0.0	0.0						19	19	19
1	20			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	11386	1302.0	760.0	1.0	1373.139999999994	0.4596596758240649	0	0	16.3058060540352	15.393484394066036	0.0014320925745683472	0.0013519659576731104	0.0014343480579555035	0.0013427939265966415	6.12528326249195e-05	1245.3766971956793	1245.4742746914192	794.5350294450408	794.4419673834174	0.0	0.0	1244.802740207272	794.4150711399965	1249.0	1288.0	834.0	775.0	0.0	0.0						20	20	20
1	21			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	472	1052.0	731.0	1.0	759.333999999997	0.057666463042150284	0	0	0.6235294116195291	0.5879453725647181	0.0013210368890244262	0.0012456469757727079	0.0013122758828103542	0.001235980773344636	5.8668968758109595e-05	1015.5069867606392	1015.5226441047469	769.623326725889	769.3544937842257	0.0	0.0	1016.2478813559322	768.5254237288135	975.0	959.0	810.0	787.0	0.0	0.0						21	21	21
1	22			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	494	190.0	804.0	1.0	829.9839999999973	0.05152005005996767	0	0	0.6785992216318846	0.6086823833175004	0.0013736826348823574	0.0012321505735172072	0.0013580529484897852	0.0012207217514514923	6.127837068812567e-05	235.30014391077532	234.75963900726998	839.3175706062242	838.5662822762597	0.0	0.0	234.1497975708502	837.5668016194332	273.0	252.0	871.0	879.0	0.0	0.0						22	22	22
1	23			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	516	895.0	811.0	1.0	873.7419999999972	0.057844291239280324	0	0	0.6612039366737008	0.636682688491419	0.0012814029780498079	0.001233881179246936	0.0012664988171309233	0.001235980773344636	5.31874254097776e-05	855.3657112526539	855.3486159376872	852.3887427305456	852.1721749550629	0.0	0.0	855.4980620155038	851.4437984496124	888.0	824.0	881.0	897.0	0.0	0.0						23	23	23
1	24			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	9608	1011.0	860.0	1.0	1428.8979999999945	0.39920226026258926	0	0	13.642679481068626	13.05619897460565	0.0014199291716349527	0.0013588883195884314	0.0014190890360623598	0.0013580529484897852	7.233923894309896e-05	1084.3493439573726	1084.721991075665	875.8123598408631	876.0748143490588	0.0	0.0	1085.6298917568693	876.2208576186512	1022.0	1019.0	858.0	861.0	0.0	0.0						24	24	24
1	25			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	16374	1026.0	992.0	1.0	1229.3259999999955	0.6136261430070454	0	0	21.621545733883977	22.5217212124262	0.001320480379497006	0.0013754562851121413	0.0013580529484897852	0.0013733119703829288	6.828850248468146e-05	966.1907566014194	966.0622557100086	987.1337080301037	988.6144430645526	0.0	0.0	966.1272749480885	988.5199096128008	1019.0	870.0	993.0	940.0	0.0	0.0						25	25	25
1	26			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	16100	170.0	1039.0	1.0	1430.019999999995	0.5268755624642069	0	0	22.3999847357627	22.312977792927995	0.0013913033997368137	0.0013858992417967698	0.0014190890360623598	0.0013733119703829288	9.520764272452571e-05	243.0336856761965	241.2146803521348	965.0634244402013	966.8003557455783	0.0	0.0	241.8875155279503	967.122049689441	243.0	229.0	967.0	956.0	0.0	0.0						26	26	26
1	27			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	10477	651.0	900.0	1.0	1134.109999999996	0.46936809802208623	0	0	16.199999996228144	15.681116956751794	0.001546244153500825	0.0014967182358262665	0.0015564202331006527	0.0014648661017417908	0.00016765853303767357	654.3548268901642	653.8826705667817	923.7506468600794	925.4912753415033	0.0	0.0	654.1854538512933	926.4353345423308	657.0	659.0	913.0	913.0	0.0	0.0						27	27	27
2	1			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	529	1054.0	44.0	1.0	878.6139999999966	0.0399743076283674	0	0	0.7353170060086995	0.6482185090426356	0.001390013243872778	0.0012253658015928838	0.0013733119703829288	0.0012207217514514923	4.3169228473891945e-05	1118.3277511465271	1118.8132812316094	69.6598808856793	68.17337162496175	0.0	0.0	1119.3572778827977	67.71833648393195	1135.0	1109.0	135.0	128.0	0.0	0.0						1	1	1
2	2			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	9954	580.0	205.0	1.0	1304.6319999999955	0.4959394150764785	0	0	13.63813229254447	13.540947582107037	0.0013701157617585361	0.0013603523791548158	0.0013733119703829288	0.0013580529484897852	6.542466526107443e-05	600.6079069116947	600.6670689627972	132.38752482448044	132.41091788876793	0.0	0.0	600.4281695800684	132.8541289933695	634.0	640.0	41.0	37.0	0.0	0.0						2	2	2
2	3			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	12073	343.0	229.0	1.0	1310.9619999999943	0.42863736419796905	0	0	16.973617147188634	17.321461810264736	0.0014059154433188632	0.0014347272268918029	0.0014038300141692162	0.0014190890360623598	0.00010460040153099596	333.83320148224595	334.1788890043888	166.87810127242292	167.83536270593976	0.0	0.0	333.4267373478009	165.52638118114803	356.0	351.0	207.0	205.0	0.0	0.0						3	3	3
2	4			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	562	756.0	94.0	1.0	943.677999999997	0.059619158754574866	0	0	0.7253986417781562	0.6878767069429159	0.0012907449141960074	0.0012239799055923772	0.001281757839024067	0.0012207217514514923	4.9333218985503135e-05	752.1753717999958	752.1301242236025	155.55253581270114	155.75916149068323	0.0	0.0	752.7775800711744	155.3879003558719	722.0	727.0	214.0	216.0	0.0	0.0						4	4	4
2	5			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	22921	465.0	201.0	1.0	1205.5359999999953	0.6170433284427874	0	0	31.902220180258155	32.43801021599211	0.0013918336974939206	0.0014152092062297505	0.0013885709922760725	0.0014038300141692162	8.957644305071536e-05	440.46982415559864	440.16279373890137	282.9900383218731	282.9398911011019	0.0	0.0	440.61122987653243	283.2672658260983	394.0	397.0	354.0	364.0	0.0	0.0						5	5	5
2	6			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	3056	724.0	388.0	1.0	940.9259999999965	0.21511280047865416	0	0	4.666361485142261	4.047760737594217	0.0015269507477559754	0.0013245290371708825	0.001541161211207509	0.0013275349047034979	6.174808293397934e-05	732.8172034923646	733.4262675764315	375.51707596219876	375.2392128774456	0.0	0.0	734.2480366492147	374.943390052356	729.0	736.0	351.0	353.0	0.0	0.0						6	6	6
2	7			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	502	1217.0	430.0	1.0	838.2639999999972	0.04228258580753843	0	0	0.6853437093086541	0.6132753489073366	0.00136522651256704	0.001221664041648081	0.0013427939265966415	0.0012207217514514923	5.1692436604100346e-05	1197.080153181636	1197.3362693140255	365.48370218640065	366.0846458162275	0.0	0.0	1197.6215139442231	366.4681274900398	1204.0	1226.0	298.0	309.0	0.0	0.0						7	7	7
2	8			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	33704	163.0	561.0	1.0	1382.5039999999954	0.6754376296355674	0	0	49.431158911203966	56.81600670074113	0.0014666258874674806	0.0016857348297157943	0.0014343480579555035	0.0016021972987800837	0.0003214168099163599	179.6412151860597	179.08123515988052	469.08492158133225	468.8493590733508	0.0	0.0	179.38594825539994	468.6809874198908	218.0	190.0	398.0	386.0	0.0	0.0						8	8	8
2	9			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	492	843.0	582.0	1.0	819.1939999999971	0.041965199590583424	0	0	0.6767833980266005	0.6030365452170372	0.0013755760122491879	0.001225684034993978	0.0013733119703829288	0.0012207217514514923	4.993995105474638e-05	817.3305751583883	817.5751518218624	529.582170315424	529.2826923076923	0.0	0.0	817.5365853658536	528.9959349593496	769.0	779.0	565.0	572.0	0.0	0.0						9	9	9
2	10			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	27022	334.0	584.0	1.0	1241.1479999999958	0.6760147601476013	0	0	38.242160668596625	42.466269922209904	0.0014152231762488575	0.0015715442943605175	0.0013733119703829288	0.0014648661017417908	0.00028849102100134984	423.60350809991223	422.14055019947705	541.2389960896976	542.8278511131944	0.0	0.0	424.26015838946046	540.5622825845608	368.0	372.0	600.0	590.0	0.0	0.0						10	10	10
2	11			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	1543	533.0	676.0	1.0	778.9399999999978	0.16207131978362488	0	0	2.3361409928184003	2.094880597665906	0.0015140252707831498	0.001357667270036232	0.0015259021893143654	0.0013580529484897852	8.081975548573789e-05	543.7436691291256	544.0308912650778	662.1306866798608	661.7094137870754	0.0	0.0	544.7764095917045	660.9494491250811	547.0	537.0	679.0	677.0	0.0	0.0						11	11	11
2	12			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	8590	171.0	674.0	1.0	670.7359999999975	0.7137515579559618	0	0	13.349965664092451	12.891340502072126	0.0015541287152610536	0.0015007381259688156	0.0015564202331006527	0.0014648661017417908	0.00016033751648463995	179.68203888488839	178.41544966230052	677.306880865023	676.5452609625086	0.0	0.0	177.3720605355064	675.4543655413271	215.0	199.0	695.0	695.0	0.0	0.0						12	12	12
2	13			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	32895	856.0	804.0	1.0	1326.935999999994	0.7165339751897796	0	9	45.545601576333866	55.50847637373954	0.001384575211318859	0.0016874441822082244	0.0013427939265966415	0.0015564202331006527	0.00035182091207523015	932.2838160686484	932.5421202898057	754.1982577908096	755.1596790102008	0.0	0.0	931.3462228302174	753.8920200638395	1020.0	1022.0	745.0	751.0	0.0	0.0						13	13	13
2	14			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	2446	576.0	817.0	1.0	819.059999999997	0.22402344644410865	0	0	3.6822919042315334	3.3395437544677407	0.001505434139097111	0.001365308157999894	0.0015106431674212217	0.0013733119703829288	7.945732086385051e-05	591.962530923798	592.0865405264625	814.3160546828058	814.2120562741882	0.0	0.0	593.0102207686018	814.0163532297629	589.0	583.0	837.0	813.0	0.0	0.0						14	14	14
2	15			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	5854	241.0	875.0	1.0	617.7359999999978	0.6176082713509522	0	0	10.144991223700345	9.31087205093354	0.001733001575623564	0.001590514528686973	0.0017090104520320892	0.0015259021893143654	0.00022770535984299655	222.18501410840307	221.7411617403161	861.7003122499443	861.2554851947268	0.0	0.0	220.938845234028	860.6235052955244	228.0	216.0	853.0	854.0	0.0	0.0						15	15	15
