ImageNumber	ObjectNumber	Metadata_ChannelNumber	Metadata_FileLocation	Metadata_Frame	Metadata_Plate	Metadata_Series	Metadata_Site	Metadata_Well	Metadata_Well	AreaShape_Area	AreaShape_Center_X	AreaShape_Center_Y	AreaShape_Center_Z	AreaShape_Compactness	AreaShape_Eccentricity	AreaShape_EulerNumber	AreaShape_Extent	AreaShape_FormFactor	AreaShape_MajorAxisLength	AreaShape_MaxFeretDiameter	AreaShape_MaximumRadius	AreaShape_MeanRadius	AreaShape_MedianRadius	AreaShape_MinFeretDiameter	AreaShape_MinorAxisLength	AreaShape_Orientation	AreaShape_Perimeter	AreaShape_Solidity	Children_Cytoplasm_Norm_Count	Children_cytoplasm_nucplus_Count	Location_Center_X	Location_Center_Y	Location_Center_Z	Number_Object_Number	Parent_nuclei
1	1			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	41743	1068.0	180.0	1.0	1.2054802800153328	0.7993804391383464	1.0	0.6397394636015326	0.6012835332319557	306.1862988952775	317.9591168688201	85.42247947700886	32.36257536477953	30.01666203960727	202.17038911898103	183.96444237729136	-78.76840899029281	934.0219999999965	0.8646291827625133	1	1	1068.7227559111707	150.86448027214144	0	1	1
1	2			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	12653	547.0	139.0	1.0	1.0171710143853712	0.5512442997762901	1.0	0.7730327468230694	0.8441661155072702	138.76145607438937	140.90067423543437	58.0	20.774541892566294	18.384776310850235	116.64938767956606	115.77477264267537	58.683068667308405	433.99799999999874	0.9811189082309155	1	0	545.1209989725756	138.07919070576148	0	2	2
1	3			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	7296	321.0	236.0	1.0	1.1163855175426214	0.7821479363763633	1.0	0.6909090909090909	0.7824754870407745	122.03795201814738	123.60016181219181	38.41874542459709	14.715430330352012	13.341664064126334	77.07463914933368	76.04096611611885	38.16057982289064	342.30399999999895	0.9753358732705033	1	0	319.62116228070175	234.86896929824562	0	3	3
1	4			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	30819	1255.0	303.0	1.0	1.1620043115750678	0.6972600601744209	1.0	0.5444283493499152	0.5350267376946928	244.93387330965754	251.32051249350897	71.25307010929424	24.58692838741003	22.0	175.08668494356905	175.57307127767504	33.55136765097458	850.7979999999961	0.8866863266920808	1	1	1230.3645153963464	286.4425192251533	0	4	4
1	5			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	8398	234.0	301.0	1.0	1.0316717567423899	0.48199542633335407	1.0	0.7345403656083268	0.7831251326985832	111.54049427509986	112.64102272262978	44.10215414239989	16.104814226904463	14.317821063276353	97.49256381899083	97.72885116022107	-11.020894016098788	367.09399999999914	0.9627973631413013	1	0	227.16301500357227	300.152536318171	0	5	5
1	6			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	27354	1156.0	402.0	1.0	1.2387723346663355	0.8463017108017278	1.0	0.5849246231155779	0.6544887691226523	258.72319752236524	276.81221071332817	67.91170738539859	25.548689205272012	23.0	146.76103951362782	137.82284886575422	48.53466197858191	724.7099999999972	0.9547643979057592	1	1	1167.0627330554946	404.6268187468012	0	6	6
1	7			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	8018	347.0	411.0	1.0	1.0436766555435004	0.6558783459653971	1.0	0.7385777450257922	0.8178647304966314	116.32423694543708	117.61377470347595	42.720018726587654	16.07454005489305	14.317821063276353	86.68180394485994	87.80928212652239	-86.05175939107895	350.9919999999991	0.9744773942634906	1	0	346.51134946370667	417.5692192566725	0	7	7
1	8			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	11420	889.0	409.0	1.0	1.3665149676015564	0.623601513004195	1.0	0.4280359820089955	0.33445498540343144	156.76541652771655	192.5850461484484	44.553338819890925	15.087197069008347	12.083045973594572	122.43212295695466	122.55017024829417	-29.02524247767617	655.0419999999979	0.6979373567608861	1	1	887.379772329247	394.96821366024517	0	8	8
1	9			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	29971	1018.0	421.0	1.0	1.1974976675930062	0.7954454979006625	1.0	0.7758277031399653	0.6636205382193667	258.00742760033063	248.1954874690513	70.00714249274856	26.49010382201412	24.041630560342615	160.6674065222156	156.35898520966012	-87.7113391045332	753.3479999999979	0.9156343084090736	1	1	1011.3906109238931	392.0354008875246	0	9	9
1	10			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	8933	251.0	485.0	1.0	1.0968255516131167	0.7348580143705209	1.0	0.6916763453348819	0.7699984508173958	130.5088425456273	127.45587471748802	40.8166632639171	16.199781780052746	14.7648230602334	86.38917038826186	88.51383518648831	61.95914841950848	381.819999999999	0.9614163482753054	1	0	249.0254113959476	490.6071868353297	0	10	10
