ImageNumber	ObjectNumber	Metadata_ChannelNumber	Metadata_FileLocation	Metadata_Frame	Metadata_Plate	Metadata_Series	Metadata_Site	Metadata_Well	Metadata_Well	AreaShape_Area	AreaShape_Center_X	AreaShape_Center_Y	AreaShape_Center_Z	AreaShape_Perimeter	AreaShape_Solidity	Children_CaprinSG_Count	Children_SG_Count	Intensity_IntegratedIntensity_G3BP	Intensity_IntegratedIntensity_GFP	Intensity_MeanIntensity_G3BP	Intensity_MeanIntensity_GFP	Intensity_MedianIntensity_G3BP	Intensity_MedianIntensity_GFP	Intensity_StdIntensity_GFP	Location_CenterMassIntensity_X_G3BP	Location_CenterMassIntensity_X_GFP	Location_CenterMassIntensity_Y_G3BP	Location_CenterMassIntensity_Y_GFP	Location_CenterMassIntensity_Z_G3BP	Location_CenterMassIntensity_Z_GFP	Location_Center_X	Location_Center_Y	Location_MaxIntensity_X_G3BP	Location_MaxIntensity_X_GFP	Location_MaxIntensity_Y_G3BP	Location_MaxIntensity_Y_GFP	Location_MaxIntensity_Z_G3BP	Location_MaxIntensity_Z_GFP	Mean_CaprinSG_Distance_Centroid_Cytoplasm_Norm	Mean_CaprinSG_Distance_Minimum_Cytoplasm_Norm	Mean_CaprinSG_Location_Center_X	Mean_CaprinSG_Location_Center_Y	Mean_CaprinSG_Number_Object_Number	Number_Object_Number
1	1			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	496	355.0	153.0	1.0	817.1299999999967	0.042529474812433014	0	0	0.7351796748116612	0.5897611961700022	0.0014822170863138331	0.0011890346696975852	0.0014801251236349344	0.001190203707665205	3.322158630667599e-05	301.0117683686177	301.4212936610608	108.54744707347447	109.45247089262614	0.0	0.0	301.4193548387097	109.38306451612904	331.0	260.0	65.0	60.0	0.0	0.0						1
1	2			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	31304	528.0	0.0	1.0	1167.2559999999949	0.7707781895182636	4	1	45.53112076455727	51.41774623049423	0.0014544825186735648	0.0016425295882473241	0.0014496070798486471	0.001632715342566371	0.0002579652940693332	573.3506670169933	571.8267686788764	104.63977898589823	103.5838576688107	0.0	0.0	575.9849539994889	105.16703935599284	501.0	499.0	67.0	64.0	0.0	0.0	73.23111475043733	4.592832277490868	517.6638559228039	149.13293866459628	2.5	2
1	3			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	501	432.0	265.0	1.0	822.9579999999969	0.04262016163334751	0	0	0.7253376056905836	0.5973449300508946	0.0014477796520770132	0.001192305249602584	0.0014496070798486471	0.001190203707665205	3.3128481738890544e-05	445.07699589775956	446.26188469103636	213.67327232565478	213.0455207295578	0.0	0.0	446.0419161676647	213.04590818363275	413.0	510.0	258.0	212.0	0.0	0.0						3
1	4			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	25917	1391.0	250.0	1.0	1332.0719999999958	0.6502496424718368	1	14	38.25969328475185	37.001937887165695	0.0014762392747907492	0.0014277091440817106	0.0014496070798486471	0.0013885709922760725	0.00015256366403141496	1224.8234717225246	1225.338772546086	226.00514926322583	225.99194283362516	0.0	0.0	1222.8957055214723	226.49546629625343	1339.0	1183.0	264.0	173.0	0.0	0.0	152.96997506351136	32.333797948832384	1371.4285714285713	263.07142857142856	5.0	4
1	5			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	24463	1122.0	363.0	1.0	1362.045999999996	0.6462973237166787	0	1	35.61509116436355	33.63791866158135	0.0014558758600483812	0.0013750528823767056	0.0014343480579555035	0.0013580529484897852	9.432497038666138e-05	1118.914987564454	1118.960940565517	453.544981973278	452.1825135486634	0.0	0.0	1118.7790949597352	452.94632710624205	1173.0	1117.0	346.0	378.0	0.0	0.0						5
1	6			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	34192	101.0	575.0	1.0	1691.1539999999954	0.6466021804290888	8	19	50.099061558488756	48.88551154732704	0.0014652275841860306	0.001429735363457155	0.0014496070798486471	0.0014038300141692162	0.00013689522611687446	232.70953618405224	234.18427374245874	561.9067561879386	561.5339116000439	0.0	0.0	228.84124941506786	561.6268132896583	407.0	395.0	574.0	572.0	0.0	0.0	167.40999778499858	7.367015814181674	392.89214015151515	575.848363095238	9.5	6
1	7			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	33246	326.0	710.0	1.0	1626.6499999999942	0.6530796656615558	2	5	48.62731363787316	47.41937894676812	0.001462651556213474	0.001426318322407752	0.0014190890360623598	0.0013580529484897852	0.00018375619293769098	226.53125699175126	226.47333867717157	720.7161555307517	720.6707744071123	0.0	0.0	227.88494856524093	722.0992600613607	128.0	122.0	703.0	703.0	0.0	0.0	56.952459488663905	2.5250489931168896	184.97916666666669	759.5208333333333	14.5	7
2	1			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	479	1172.0	42.0	1.0	807.5319999999975	0.05039718028302383	0	0	0.6573586631566286	0.6058136872015893	0.0013723562905148823	0.0012647467373728379	0.0013580529484897852	0.0012664988171309233	4.1403996191738967e-05	1201.4271355617457	1201.4412875925645	75.8077530176416	75.85774016422347	0.0	0.0	1201.277661795407	75.94780793319416	1208.0	1219.0	11.0	13.0	0.0	0.0						1
2	2			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	3066	248.0	110.0	1.0	869.8559999999965	0.21690071097591174	0	0	4.8359655134845525	4.2097962910775095	0.0015772881648677601	0.0013730581510363697	0.00158693827688694	0.0013733119703829288	6.0503826633336075e-05	296.99205490257947	297.512894678657	139.35486629328705	139.420868537709	0.0	0.0	298.12818003913895	139.70874103065884	259.0	257.0	102.0	115.0	0.0	0.0						2
2	3			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	1470	1047.0	172.0	1.0	814.4619999999975	0.1693158258465791	0	0	2.3928587771952152	1.9614404512103647	0.0016277950865273574	0.0013343132321158944	0.001678492408245802	0.0013427939265966415	6.680827308360346e-05	1035.5767077339046	1033.9672016368063	181.24415875931027	182.43274235080867	0.0	0.0	1032.9353741496598	183.27687074829933	1051.0	1049.0	173.0	182.0	0.0	0.0						3
